Run,p0,mDotSand,mDotS,Tbed2,rho_g2,D2,Ar2,w_e2,wmf2,FG2,Tleft,Tcenter,Tright,epsLeft,epsCenter,epsRight,AC1,AC2,AC1set,AC2set,air1,air2,air3,air4,h1,h2,h3,h4,h5,h6,w_p1,w_p2,w_p3,w_p4,w_p5,w_p6,Phi1,Phi2,Phi3,Phi4,Phi5,Phi6,pi1,pi2,pi3,pi4,pi5,Phigate,baffleCorr1,baffleCorr2,baffleCorr3
24,101325.000195313,1.5,3,384.116361745199,0.948829612362212,0.174146596711723,261.756088307665,0.0374630448539914,0.0250260251848203,2.49696390769621,383.56348139445,384.669242095947,404.078591664632,0.467617979592555,0.472352775215834,0.477087570839114,0.404562297960122,0.600000023841858,0.4805,0.4805,0.0104797861889707,0.0314244745225264,0.0262409926644444,0.00823676176529511,0.4755,0.4755,0.4755,0.4755,0.483867931332951,0.491966479729599,0.00455298159550778,0.00455298159550778,0.00451212581854411,0.00451212581854411,0.00439468464387482,0.00432275034491516,658.908879174904,658.908879174904,664.875076769908,664.875076769908,682.646855267529,694.072387395633,24121.8015666467,0.905478868450199,0.107638456650331,0.000358177155265509,0.00116977017841763,10985.9277083706,40.4058325170636,1,1
25,101325.092975207,3,6,385.004932119827,0.949708632055339,0.133228197319282,261.105848330066,0.0378734284770039,0.0249835692357849,2.51593349662604,384.818389135944,385.191475103709,395.591448823283,0.462148996519149,0.47168675801465,0.481224519510151,0.289991364498769,0.600000023841858,0.4805,0.4805,0.0105516533924132,0.0316387882652091,0.0274902182663899,0.0086599138715624,0.475541566095259,0.4755,0.478773695567978,0.480578198047184,0.504409217895466,0.535788398356284,0.00917777740206204,0.0091785782311212,0.00895126130709314,0.00891767001388687,0.00834570097195136,0.00785700918740769,653.753156776503,653.696013578246,670.297580699487,672.823938470131,718.937060626678,763.661968429712,18454.0163258983,0.915397808569567,0.208627164273694,0.000358509098581484,0.00117176842555904,10978.4794345492,97.2698886144971,1,1
26,101324.753282563,3,6,386.373159071978,0.946317360159653,0.14243615320063,258.813069891394,0.0387710854739345,0.0249189628442772,2.55588604088887,386.174225366416,386.572092777541,396.751727961692,0.464272029837121,0.472771580149409,0.481271130461698,0.483448991004158,0.600000023841858,0.4805,0.4805,0.010653920058166,0.031943580004684,0.0278432149652245,0.00876663248659283,0.475556386372226,0.4755,0.479175196896108,0.480711662998951,0.503463416903735,0.536977161335712,0.00917831855966886,0.0091794029823358,0.00896219820730389,0.00893359015744479,0.00839457656976124,0.00787071372016689,653.71479076715,653.637280283476,669.482172011496,671.628853789719,714.75650113113,762.335264365446,19729.4502924432,0.937094108082992,0.209410218278017,0.000357228457226517,0.00117484323894641,10978.4961463684,100.617734721604,1,1
27,101322.185351562,0.3,0.6,388.743165715535,0.935866273816264,-0.38407670332893,253.649596510525,0.052966038321302,0.0248083017185113,3.13501487130618,381.884780883789,395.601550547282,427.845277150472,0.489399240214102,0.488130967866292,0.486862695518482,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0128590651186216,0.0385767505728438,0.0309179424099599,0.00987364565648605,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.000927942928818006,0.000927942928818006,0.000930242119202819,0.000930242119202819,0.00093255273142566,0.00093255273142566,646.591488944548,646.591488944548,644.993370665882,644.993370665882,643.395252387215,643.395252387215,-53200.1325263258,1.28018500985119,0.0225118030325054,0.000353281848446557,0.00118016729198751,10974.8430630966,1,284.514402551842,1
28,101322.718943698,0.3,0.6,393.158350794769,0.925284141631647,-0.499241490081432,246.616295008665,0.0532174183963995,0.0246038568542211,3.16297077404742,381.324703248079,404.991998341458,435.584007578448,0.490029746357578,0.489054038464809,0.48807833057204,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0127222474476058,0.038163597996354,0.0301658463892284,0.00962359417204656,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.000930146468967485,0.000930146468967485,0.000931922686649049,0.000931922686649049,0.000933705701078459,0.000933705701078459,645.059697604436,645.059697604436,643.830232481455,643.830232481455,642.600767358475,642.600767358475,-69152.1073909718,1.28626084663481,0.0225460462177048,0.000349285784992225,0.00119008935675757,10973.363179501,1,288.639633450589,1
29,101324.2703125,0.75,1.5,388.424101765951,0.937841986190089,0.260686650162978,254.494188563304,0.0526851133619721,0.0248230819813686,3.12242433560097,381.55248743693,395.295716094971,427.749579366048,0.478041211161013,0.48271266117548,0.487384111189948,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0128416556236745,0.0385259316590313,0.0312000517935096,0.00998011666751385,0.4755,0.4755,0.4755,0.4755,0.4755,0.475516562700457,0.00232221700302581,0.00232221700302581,0.00230124583315911,0.00230124583315911,0.00228065004071252,0.00228057077842525,645.934466092327,645.934466092327,651.820843469308,651.820843469308,657.707220846287,657.730130221023,36108.8402819296,1.27339507552298,0.0553720327245091,0.000354027927715088,0.00117945079295479,10974.0593365949,1,168.063364614042,1
30,101324.169971113,0.75,1.5,389.783087465943,0.934662281620557,0.394870517189883,252.322599057419,0.0525937618137574,0.0247597061771018,3.12416786389076,386.149909267906,393.41626566398,423.726243475906,0.476866046876113,0.479950056957042,0.483034067037972,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0127722992838631,0.0383186583447912,0.0313648418523837,0.0100351587220741,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.00230267655393712,0.00230267655393712,0.00228902117756325,0.00228902117756325,0.00227552680514695,0.00227552680514695,651.415847977128,651.415847977128,655.301931979855,655.301931979855,659.188015982581,659.188015982581,54695.2305702585,1.27118711573671,0.0551623841372137,0.000352827190901065,0.00118250489929004,10979.5282045624,1,144.539468909671,1
31,101324.097200521,1.5,3,392.452195739746,0.92831196646833,0.564484155633487,248.084427504958,0.0528081310536615,0.0246361717073147,3.14352030948337,392.89231338501,392.012078094482,410.761642456055,0.478285527481363,0.482104666239376,0.485923804997387,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0127009648008613,0.0381030057922793,0.0322319300730355,0.0103318445103614,0.4755,0.4755,0.4755,0.4755,0.476045281659557,0.488557366559422,0.0046312408338995,0.0046312408338995,0.00459708846716934,0.00459708846716934,0.00455821781837173,0.00444177236856447,647.774561417917,647.774561417917,652.586962688418,652.586962688418,658.153239492403,675.451739292553,78189.1523969729,1.27636840352406,0.11064151896964,0.000350429160019236,0.00118850323122574,10975.206276507,1,50.2412422992626,1
32,101324.086263021,1.5,3,392.290210851034,0.928706045859843,0.670009716340462,248.341885167272,0.052714704051365,0.0246436330327471,3.13908025694774,392.141802724202,392.438618977865,410.858213043213,0.477673031574713,0.480912511456745,0.484151991338778,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0126923423145508,0.0380768661578608,0.0322100490583952,0.0103218469795623,0.4755,0.4755,0.4755,0.4755,0.475967408904752,0.488128129061626,0.00461533363715155,0.00461533363715155,0.00458653063034363,0.00458653063034363,0.00455361824636825,0.00444050526594849,650.00717951379,650.00717951379,654.089167126142,654.089167126142,658.818126470514,675.650587518046,92805.9561912869,1.27411028017472,0.110458342275797,0.000350577973488063,0.00118813920457541,10977.4372290688,1,46.3618858586724,1
33,101323.50676208,3,6,392.728010161584,0.93036333551253,0.188409771138644,248.373188848664,0.0525752980664236,0.0246232074518493,3.13519296460578,392.767246534844,392.688773788324,401.654400993796,0.472541712191212,0.480646382508091,0.48875105282497,0.319664440986489,0.600000023841858,0.4805,0.4805,0.0126889277376639,0.0380660032670406,0.0329863506101531,0.0105999606677699,0.475555124090938,0.4755,0.4755,0.480596307673397,0.496576447753327,0.53029818680067,0.00931262743461407,0.00931370393694597,0.00916836076940919,0.00907117825931406,0.00864437324334308,0.00809484904653251,644.286699765235,644.212017111577,654.424509561117,661.438492000098,694.09691168007,741.231960140663,26097.4558127426,1.27074084840558,0.214091748162966,0.000351203804775768,0.00118912428736668,10969.9151948722,153.484854703776,1,1
