Time,ACset1,ACset2,AO1,AO2,Pmean1,T1,T3,T5,T6,T7,T8,Tco2bypass,Tco2hex1,Tco2hex2,Tco2split,p1,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p2,p20,p21,p3,p4,p5,p6,p7,p8,p9,speed1,w1
00:01:00,0.005,0.005,0.548100471496582,0.600000023841858,2021.49660948757,392.610748291016,408.442596435547,492.006439208984,401.650238037109,392.472137451172,336.256591796875,269.393625217014,458.543235948351,390.839505683051,393.407513699002,672.907653808594,3374.92065429688,3487.49047851562,3696.3828125,3720.22509765625,4752.13916015625,4925.68798828125,5006.728515625,4893.21630859375,46.442928314209,294.321441650391,1100.54870605469,125320.0234375,101319.984375,648.392150878906,-25.8528385162354,-35.6015663146973,-29.8564071655273,45.7264060974121,268.282470703125,719.886596679688,20,4.34466457366943
00:01:01,0.005,0.005,0.548493623733521,0.600000023841858,2021.68406910929,392.610626220703,408.458038330078,492.023101806641,401.651123046875,392.471618652344,336.257629394531,269.393704689874,458.542913818359,390.839022488064,393.408277045356,653.416687011719,3321.05419921875,3435.49682617188,3644.3662109375,3664.41674804688,4658.2060546875,4830.83544921875,4909.99169921875,4800.271484375,21.1875629425049,270.100372314453,1107.58422851562,125282.2578125,101324.390625,673.455627441406,-51.0672645568848,-44.9453125,-31.290168762207,29.7826137542725,243.753707885742,784.882507324219,20,4.34650802612305
00:01:02,0.005,0.005,0.548886835575104,0.600000023841858,2022.83567466883,392.610504150391,408.473449707031,492.039764404297,401.652008056641,392.471099853516,336.258636474609,269.393783103095,458.542608642578,390.838530815972,393.409049479167,659.486206054688,3343.44946289062,3456.94604492188,3662.9658203125,3688.66967773438,4650.248046875,4820.97412109375,4904.85986328125,4791.40185546875,35.1716728210449,287.868591308594,1103.73474121094,125277.7109375,101324.828125,701.04541015625,-18.9525527954102,-40.8515625,-25.6047878265381,34.2960586547852,274.035980224609,789.611511230469,20,4.34835195541382
00:01:03,0.005,0.005,0.549279987812042,0.600000023841858,2028.84982600546,392.610382080078,408.488891601562,492.056427001953,401.652893066406,392.470581054688,336.259643554688,269.393862575955,458.542286512587,390.838047620985,393.409821912977,664.915283203125,3361.64184570312,3474.17724609375,3683.02734375,3706.87719726562,4694.87939453125,4863.68212890625,4945.70361328125,4836.9716796875,48.5420913696289,300.338989257812,1110.47875976562,125317.7734375,101324.4375,633.661499023438,-24.4774398803711,-32.8529968261719,-31.6885948181152,42.6684036254883,278.091064453125,765.575317382812,20,4.35019540786743
00:01:04,0.005,0.005,0.549673140048981,0.600000023841858,2023.035013861,392.610260009766,408.504333496094,492.073089599609,401.653778076172,392.470031738281,336.260681152344,269.393940989176,458.541981336806,390.837564425998,393.410585259332,651.255065917969,3364.6142578125,3480.0107421875,3688.86865234375,3712.71069335938,4740.78759765625,4912.451171875,4991.607421875,4879.072265625,28.6106662750244,262.264434814453,1099.98474121094,125346.515625,101319.0859375,666.628540039062,-25.5588607788086,-40.436408996582,-41.9623107910156,37.0031280517578,260.929260253906,817.12060546875,20,4.35203886032104
00:01:05,0.005,0.005,0.550066351890564,0.600000023841858,2022.4742981357,392.610137939453,408.519744873047,492.089752197266,401.654663085938,392.469512939453,336.261688232422,269.394020462036,458.541659206814,390.837072753906,393.411357693142,644.245178222656,3379.87329101562,3495.29833984375,3706.03491210938,3727.10205078125,4731.04150390625,4904.498046875,4986.48681640625,4872.998046875,31.7008419036865,284.170654296875,1099.751953125,125336.578125,101323.2421875,667.077697753906,-33.6878509521484,-39.2347030639648,-37.0833168029785,36.3547325134277,263.507965087891,734.728820800781,20,4.35388278961182
00:01:06,0.005,0.005,0.550459504127502,0.600000023841858,2023.55533904676,392.610046386719,408.708984375,492.154235839844,401.655548095703,392.468994140625,336.2626953125,269.394099934896,458.541337076823,390.836589558919,393.412130126953,658.927856445312,3369.49755859375,3482.009765625,3692.84399414062,3716.59448242188,4695.5380859375,4861.66357421875,4940.8427734375,4833.89208984375,32.5631256103516,294.712799072266,1110.53747558594,125344.75,101326.65625,719.468444824219,-31.4196891784668,-40.4180488586426,-39.1726379394531,26.8226318359375,253.980087280273,727.089294433594,20,4.35572624206543
00:01:07,0.005,0.005,0.550852656364441,0.600000023841858,2027.9241698759,392.609924316406,408.789093017578,492.183502197266,401.656433105469,392.468444824219,336.263702392578,269.394178348117,458.541031901042,390.836097886827,393.412893473307,691.270446777344,3386.1826171875,3500.556640625,3708.57543945312,3733.32543945312,4714.53369140625,4889.8525390625,4968.98583984375,4853.84130859375,47.3866767883301,303.066925048828,1111.90356445312,125374.8046875,101327.640625,695.983032226562,-21.8082408905029,-33.6797904968262,-27.0239601135254,38.6722946166992,256.723876953125,743.813171386719,20,4.3575701713562
00:01:08,0.005,0.005,0.551245868206024,0.600000023841858,2021.88293311864,392.609802246094,408.869201660156,492.212768554688,401.657318115234,392.467926025391,336.264739990234,269.394257820977,458.54070977105,390.83561469184,393.413665907118,671.167236328125,3374.34204101562,3486.91552734375,3698.61547851562,3720.53125,4717.13623046875,4888.78125,4966.0869140625,4856.3935546875,34.8482933044434,261.082580566406,1112.22229003906,125363.4921875,101324.0390625,701.234985351562,-46.4403648376465,-40.6575050354004,-37.9489936828613,38.2773857116699,268.74169921875,764.164245605469,20,4.35941362380981
00:01:09,0.005,0.005,0.551639020442963,0.600000023841858,2022.82783415233,392.609680175781,409.101196289062,492.242065429688,401.658203125,392.467407226562,336.265747070312,269.394336234199,458.540404595269,390.835123019748,393.414438340929,677.158142089844,3357.3515625,3472.732421875,3683.4521484375,3705.4326171875,4735.94287109375,4906.65283203125,4986.7626953125,4875.1962890625,32.7157363891602,242.664794921875,1100.48693847656,125313.9609375,101320.34375,674.475280761719,-34.8365135192871,-41.852294921875,-38.4190139770508,46.1768798828125,254.322998046875,766.851440429688,20,4.36125755310059
